"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2010","2,573.32","2,595.63","2,788.73","2,475.71","","-1.42%"
"05/01/2010","2,610.26","2,806.71","2,828.79","2,448.10","","-7.33%"
"04/01/2010","2,816.86","2,941.46","3,027.14","2,762.15","","-3.90%"
"03/01/2010","2,931.16","2,743.17","2,969.20","2,737.07","","7.43%"
"02/01/2010","2,728.47","2,763.88","2,842.61","2,617.77","","-1.74%"
"01/01/2010","2,776.83","2,974.86","3,044.37","2,737.33","","-6.39%"
"12/01/2009","2,966.24","2,817.16","3,001.56","2,802.39","","6.04%"
"11/01/2009","2,797.25","2,738.26","2,933.96","2,693.80","","1.96%"
"10/01/2009","2,743.50","2,874.78","2,962.06","2,737.24","","-4.50%"
"09/01/2009","2,872.63","2,785.37","2,915.71","2,674.66","","3.51%"
"08/01/2009","2,775.17","2,637.51","2,831.44","2,587.25","","5.19%"
"07/01/2009","2,638.13","2,410.08","2,668.50","2,258.60","","9.84%"
"06/01/2009","2,401.69","2,475.53","2,549.32","2,343.02","","-2.02%"
"05/01/2009","2,451.24","2,376.04","2,499.64","2,318.26","","3.20%"
"04/01/2009","2,375.34","2,065.49","2,400.69","2,021.53","","14.69%"
"03/01/2009","2,071.13","1,963.79","2,167.29","1,765.49","","4.80%"
"02/01/2009","1,976.23","2,214.75","2,358.44","1,937.15","","-11.66%"
"01/01/2009","2,236.98","2,451.69","2,608.15","2,086.09","","-8.75%"
"12/01/2008","2,451.48","2,429.98","2,513.43","2,227.09","","0.87%"
"11/01/2008","2,430.31","2,601.71","2,755.12","2,128.29","","-6.23%"
"10/01/2008","2,591.76","3,057.27","3,130.25","2,178.73","","-14.69%"
"09/01/2008","3,038.20","3,353.33","3,431.08","2,924.13","","-9.73%"
"08/01/2008","3,365.63","3,343.80","3,456.81","3,243.75","","-0.07%"
"07/01/2008","3,367.82","3,341.83","3,410.71","3,089.50","","0.45%"
"06/01/2008","3,352.81","3,775.39","3,777.97","3,298.05","","-11.25%"
"05/01/2008","3,777.85","3,835.38","3,900.30","3,695.40","","-1.23%"
"04/01/2008","3,825.02","3,620.24","3,841.91","3,612.72","","5.43%"
"03/01/2008","3,628.06","3,715.59","3,715.59","3,417.25","","-2.59%"
"02/01/2008","3,724.50","3,817.28","3,905.50","3,649.34","","-1.80%"
"01/01/2008","3,792.80","4,393.53","4,411.59","3,528.88","","-13.79%"
"12/01/2007","4,399.72","4,389.01","4,502.80","4,279.54","","0.11%"
"11/01/2007","4,394.95","4,491.64","4,497.32","4,176.30","","-2.11%"
"10/01/2007","4,489.79","4,361.59","4,489.79","4,332.45","","2.47%"
"09/01/2007","4,381.71","4,297.96","4,404.10","4,154.09","","2.03%"
"08/01/2007","4,294.56","4,264.28","4,374.67","4,028.72","","-0.49%"
"07/01/2007","4,315.69","4,471.80","4,564.03","4,208.16","","-3.88%"
"06/01/2007","4,489.77","4,516.03","4,572.82","4,330.27","","-0.51%"
"05/01/2007","4,512.65","4,401.94","4,522.24","4,331.36","","2.74%"
"04/01/2007","4,392.34","4,177.31","4,434.06","4,163.77","","5.05%"
"03/01/2007","4,181.03","4,084.64","4,207.76","3,906.15","","2.30%"
"02/01/2007","4,087.12","4,190.98","4,278.22","4,068.05","","-2.19%"
"01/01/2007","4,178.54","4,128.90","4,210.63","4,077.88","","1.42%"
"12/01/2006","4,119.94","3,993.03","4,147.38","3,914.46","","3.33%"
"11/01/2006","3,987.23","4,003.80","4,118.40","3,951.94","","-0.44%"
"10/01/2006","4,004.80","3,902.03","4,047.54","3,858.87","","2.70%"
"09/01/2006","3,899.41","3,808.99","3,921.15","3,709.81","","2.38%"
"08/01/2006","3,808.70","3,687.82","3,829.40","3,632.51","","3.16%"
